Representative,Time,Age,Congress Number,Original Legislative Efficiency,Modified Legislative Efficiency
Chris Smith,1997-01-03,43.83572895,105,3,3
Chris Smith,1999-01-03,45.83436003,106,3,3
Chris Smith,2001-01-03,47.83572895,107,3,3
Chris Smith,2003-01-03,49.83436003,108,3,3
Chris Smith,2005-01-03,51.83572895,109,3,3
Chris Smith,2007-01-03,53.83436003,110,2,2
Chris Smith,2009-01-03,55.83572895,111,2,2
Chris Smith,2011-01-03,57.83436003,112,3,3
Chris Smith,2013-01-03,59.83572895,113,3,3
Chris Smith,2015-01-03,61.83436003,114,3,3
Chris Smith,2017-01-03,63.83572895,115,3,3
Chris Smith,2019-01-03,65.83436003,116,3,3
Chris Smith,2021-01-03,67.83572895,117,#N/A,3
Steny Hoyer,1981-05-19,41.93018481,97,3,3
Steny Hoyer,1983-01-03,43.55646817,98,3,3
Steny Hoyer,1985-01-03,45.5578371,99,2,2
Steny Hoyer,1987-01-03,47.55646817,100,2,2
Steny Hoyer,1989-01-03,49.5578371,101,1,1
Steny Hoyer,1991-01-03,51.55646817,102,2,2
Steny Hoyer,1993-01-03,53.5578371,103,2,2
Steny Hoyer,1995-01-03,55.55646817,104,1,1
Steny Hoyer,1997-01-03,57.5578371,105,2,2
Steny Hoyer,1999-01-03,59.55646817,106,1,1
Steny Hoyer,2001-01-03,61.5578371,107,1,1
Steny Hoyer,2003-01-03,63.55646817,108,1,1
Steny Hoyer,2005-01-03,65.5578371,109,1,1
Steny Hoyer,2007-01-03,67.55646817,110,2,2
Steny Hoyer,2009-01-03,69.5578371,111,2,2
Steny Hoyer,2011-01-03,71.55646817,112,1,1
Steny Hoyer,2013-01-03,73.5578371,113,2,2
Steny Hoyer,2015-01-03,75.55646817,114,1,1
Steny Hoyer,2017-01-03,77.5578371,115,1,1
Steny Hoyer,2019-01-03,79.55646817,116,3,3
Steny Hoyer,2021-01-03,81.5578371,117,#N/A,3
Sander Levin,1983-01-03,51.32648871,98,1,1
Sander Levin,1985-01-03,53.32785763,99,1,1
Sander Levin,1987-01-03,55.32648871,100,1,1
Sander Levin,1989-01-03,57.32785763,101,1,1
Sander Levin,1991-01-03,59.32648871,102,2,2
Sander Levin,1993-01-03,61.32785763,103,1,1
Sander Levin,1995-01-03,63.32648871,104,1,1
Sander Levin,1997-01-03,65.32785763,105,1,1
Sander Levin,1999-01-03,67.32648871,106,1,1
Sander Levin,2001-01-03,69.32785763,107,1,1
Sander Levin,2003-01-03,71.32648871,108,1,1
Sander Levin,2005-01-03,73.32785763,109,2,2
Sander Levin,2007-01-03,75.32648871,110,1,1
Sander Levin,2009-01-03,77.32785763,111,3,3
Sander Levin,2011-01-03,79.32648871,112,1,1
Sander Levin,2013-01-03,81.32785763,113,1,1
Sander Levin,2015-01-03,83.32648871,114,1,1
Sander Levin,2017-01-03,85.32785763,115,1,1
Marcy Kaptur,1983-01-03,36.54757016,98,1,1
Marcy Kaptur,1985-01-03,38.54893908,99,1,1
Marcy Kaptur,1987-01-03,40.54757016,100,2,2
Marcy Kaptur,1989-01-03,42.54893908,101,2,2
Marcy Kaptur,1991-01-03,44.54757016,102,2,2
Marcy Kaptur,1993-01-03,46.54893908,103,2,2
Marcy Kaptur,1995-01-03,48.54757016,104,1,1
Marcy Kaptur,1997-01-03,50.54893908,105,1,1
Marcy Kaptur,1999-01-03,52.54757016,106,2,2
Marcy Kaptur,2001-01-03,54.54893908,107,1,1
Marcy Kaptur,2003-01-03,56.54757016,108,2,2
Marcy Kaptur,2005-01-03,58.54893908,109,1,1
Marcy Kaptur,2007-01-03,60.54757016,110,1,1
Marcy Kaptur,2009-01-03,62.54893908,111,1,1
Marcy Kaptur,2011-01-03,64.54757016,112,1,1
Marcy Kaptur,2013-01-03,66.54893908,113,2,2
Marcy Kaptur,2015-01-03,68.54757016,114,1,1
Marcy Kaptur,2017-01-03,70.54893908,115,2,2
Marcy Kaptur,2019-01-03,72.54757016,116,1,1
Marcy Kaptur,2021-01-03,74.54893908,117,#N/A,1
Howard Coble,1985-01-03,53.79876797,99,1,1
Howard Coble,1987-01-03,55.79739904,100,2,2
Howard Coble,1989-01-03,57.79876797,101,1,1
Howard Coble,1991-01-03,59.79739904,102,3,3
Howard Coble,1993-01-03,61.79876797,103,1,1
